GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fitnesse-selenium-slim,com.github.andreptb.fitnesse.plugins,SeleniumPluginFeatureFactory,0,39,0,2,0,8,0,4,0,3
fitnesse-selenium-slim,com.github.andreptb.fitnesse.plugins,SeleniumScriptTable,7,266,3,11,3,49,3,19,0,15
fitnesse-selenium-slim,com.github.andreptb.fitnesse.plugins,SeleniumScriptTable.ScreenshotEmbedderSlimExpectation,30,14,4,0,6,4,3,2,1,2
fitnesse-selenium-slim,com.github.andreptb.fitnesse,SeleniumFixture,174,1125,41,45,32,188,38,121,5,111
fitnesse-selenium-slim,com.github.andreptb.fitnesse.util,FitnesseMarkup,63,260,4,16,9,43,5,22,2,15
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,ByWebElement,36,46,3,3,5,13,5,5,2,5
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,FrameWebElementHelper.FrameRelativeSelectorType,0,24,0,0,0,3,0,1,0,1
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,WebDriverHelper.StopTestWithWebDriverException,8,0,0,0,4,0,2,0,2,0
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,BrowserDialogHelper,0,106,1,11,0,21,1,13,0,8
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,FrameWebElementHelper,0,46,0,2,0,10,0,4,0,3
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,WebDriverHelper.new Thread() {...},0,18,0,0,0,4,0,2,0,2
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,SeleniumLocatorParser.WebElementSelector,0,21,0,0,0,8,0,4,0,4
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,WebDriverHelper,237,389,28,18,48,85,24,27,4,24
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,WebDriverCapabilitiesHelper.CapabilitiesAndPreferencesInjector,51,149,4,2,10,23,6,4,3,4
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,SeleniumLocatorParser.ByFocus,2,17,1,1,1,3,1,2,0,2
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,SeleniumLocatorParser.LocatorType,0,78,0,0,0,10,0,2,0,2
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,BrowserDialogHelper.DialogIdentifier,0,44,0,0,0,5,0,1,0,1
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,SeleniumLocatorParser,14,79,0,4,2,14,0,5,0,3
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,FrameWebElementHelper.FrameSelectorType,5,55,2,2,1,11,2,4,0,4
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,SelectWebElementHelper.OptionSelectorType,4,76,0,0,0,8,1,7,1,7
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,WebDriverCapabilitiesHelper,0,79,2,6,0,20,2,6,0,4
fitnesse-selenium-slim,com.github.andreptb.fitnesse.selenium,SelectWebElementHelper,0,105,0,0,0,14,0,6,0,6
